latitude,longitude,elevation,slope,country,state,ore,gangue,dep_type,hrock_type,arock_type,ore_ctrl,commod1
18.61144,109.30263,227.0,5.8784237,China,Liaoning,,,,Dolomite,,Mn-Bearing Searies,Manganese
41.9342,93.00833,925.0,3.046159,China,Xinjiang* [Sinkiang],,,,,,,Manganese
40.40652,108.40366,1242.0,9.575106,China,Nei Mongol* (Inner Mongolia),,,,,,,Manganese
32.2098,114.5077,65.0,2.3791327,China,Hunan,,,,,,,Manganese
26.3047,118.51181,428.0,30.695847,China,Fujian [Fukien],,,,,,,Manganese
28.97393,117.11182,25.0,5.616445,China,Jiangxi [Kiangsi],,,Sedimentary,,,,Manganese
28.97393,117.11182,25.0,5.616445,China,Jiangxi [Kiangsi],,,Sedimentary,,,,Manganese
25.51309,117.50212,452.0,25.329575,China,Fujian [Fukien],,,,,,,Manganese
32.20755,104.5141,1678.0,21.254904,China,Sichuan [Szechwan],"Psilomelane, Pyrolusite, Rhodochrosite","Biotite, Feldspar, Quartz",,"Slate,Schist,Limestone",,Mn-Bearing Series,Manganese
28.70865,111.70086,79.0,4.322206,China,Hunan,,,Sedimentary,,,,Manganese
25.10339,113.40222,110.0,19.345507,China,Guangdong [Kwangtung],,,Sedimentary,,,,Manganese
23.3066,116.23049,9.0,2.1111171,China,Guangdong [Kwangtung],,,,,,,Manganese
43.89957,127.19999,548.0,17.342636,China,Jilin [Kirin],,,,,,,Manganese
37.80002,113.50936,946.0,17.549372,China,Shanxi [Shansi],,,Sedimentary,,,,Manganese
20.74956,97.23321,1125.0,1.3576671,Burma,,"Hematite, Magnetite, Psilomelane, Pyrolusite, Rhodochrosite",,,Limestone,,,Manganese
28.1734,108.49956,749.0,20.16308,China,Guizhou [Kweichow],"Psilomelane, Pyrolusite, Rhodochrosite","Calcite, Dolomite, Pyrite, Quartz",,Shale,,Mn-Bearing Searies,Manganese
28.1734,108.49956,749.0,20.16308,China,Guizhou [Kweichow],"Psilomelane, Pyrolusite, Rhodochrosite","Calcite, Dolomite, Pyrite, Quartz",,Shale,,Mn-Bearing Searies,Manganese
28.1734,108.49956,749.0,20.16308,China,Guizhou [Kweichow],"Psilomelane, Pyrolusite, Rhodochrosite","Calcite, Dolomite, Pyrite, Quartz",,Shale,,Mn-Bearing Searies,Manganese
28.1734,108.49956,749.0,20.16308,China,Guizhou [Kweichow],"Psilomelane, Pyrolusite, Rhodochrosite","Calcite, Dolomite, Pyrite, Quartz",,Shale,,Mn-Bearing Searies,Manganese
41.79809,96.39988,2230.0,3.0450788,China,Gansu [Kansu],"Galena, Magnetite, Pyrolusite","Pyrite, Quartz",,"Hornblendite,Marble,Gneiss",,Faults,Manganese
23.20768,106.60796,622.0,13.96705,China,Guangxi* [Kwangsi],"Psilomelane, Pyrolusite","Calcite, Pyrite, Quartz",,"Shale,Sandstone,Limestone",,"Mn-Bearing Searies Strata, Oxidizing Zone",Manganese
41.79813,108.80086,1668.0,3.0450788,China,Nei Mongol* (Inner Mongolia),,,Sedimentary,,,,Manganese
26.10746,111.81337,240.0,2.7802885,China,Hunan,,,Sedimentary,,,,Manganese
23.71042,104.71218,1370.0,28.726461,China,Yunnan,"Braunite, Hausmannite, Manganite, Psilomelane, Pyrolusite","Calcite, Chlorite, Dolomite, Pyrite, Quartz",,"Mudstone,Siltstone,Limestone",,Mn-Bearing Searies,Manganese
23.99929,104.16636,1517.0,11.248725,China,Yunnan,"Braunite, Hausmannite, Manganite, Psilomelane","Calcite, Dolomite, Pyrite, Quartz",Stratiform,Limestone,,Mn-Bearing Series - M Triassic Strata,Manganese
27.93537,109.55842,419.0,4.195014,China,Hunan,,,Sedimentary,,,,Manganese
29.80719,115.10215,26.0,5.4082813,China,Hubei [Hupeh],,,Residual,,,,Manganese
31.84036,108.02484,676.0,16.033775,China,Sichuan [Szechwan],Rhodochrosite,Quartz,,"Shale,Dolomite",,Mn-Bearing Series,Manganese
26.57687,109.70786,325.0,19.319778,China,Hunan,,,Sedimentary,,,,Manganese
30.90155,112.40777,60.0,0.0,China,Hubei [Hupeh],Rhodochrosite,"Pyrite, Quartz",,"Mudstone,Shale,Till",,Mn-Bearing Series,Manganese
22.80219,112.7278,56.0,13.347433,China,Guangdong [Kwangtung],"Psilomelane, Pyrolusite",Quartz,,"Shale,Siltstone",,Fault Zone,Manganese
39.70376,97.70817,2572.0,12.822282,China,Gansu [Kansu],"Manganite, Psilomelane, Pyrolusite","Barite, Quartz",,"Slate,Tuff",,"Strata, Layer",Manganese
29.50717,102.96915,2281.0,6.3679805,China,Sichuan [Szechwan],"Psilomelane, Rhodochrosite",Calcite,,"Shale,Limestone",,Mn-Bearing Series,Manganese
24.66593,116.2327,413.0,24.35627,China,Guangdong [Kwangtung],"Psilomelane, Pyrolusite",,,,,Weathering Zone,Manganese
29.92107,114.10773,27.0,2.3312876,China,Hubei [Hupeh],,,Sedimentary,,,,Manganese
40.80509,82.59756,975.0,1.5363969,China,Xinjiang* [Sinkiang],,,Sedimentary,,,,Manganese
28.61143,109.94813,463.0,10.0162525,China,Hunan,,,Sedimentary,,,,Manganese
42.49876,124.10732,130.0,6.331972,China,Liaoning,,,Sedimentary,,,,Manganese
23.31323,104.12802,1703.0,14.483846,China,Yunnan,,,Sedimentary,,,,Manganese
22.80773,111.50922,299.0,12.097629,China,Guangdong [Kwangtung],"Gold, Pyrite, Pyrolusite, Silver","Feldspar, Quartz",,"Mudstone,Sandstone,Conglomerate",Granite,Fault Zone,Manganese
22.80773,111.50922,299.0,12.097629,China,Guangdong [Kwangtung],"Gold, Pyrite, Pyrolusite, Silver","Feldspar, Quartz",,"Mudstone,Sandstone,Conglomerate",Granite,Fault Zone,Manganese
33.00694,106.5857,1031.0,12.238405,China,Shanxi [Shansi],,,,,,,Manganese
38.49832,114.20766,210.0,3.8886676,China,Hebei [Hopeh],,,,,,,Manganese
25.41168,109.5051,284.0,20.459164,China,Guangxi* [Kwangsi],Pyrolusite,"Calcite, Muscovite",,Limestone,,"Strata, Mn-Bearing Series",Manganese
24.49925,108.49957,165.0,4.1737986,China,Guangxi* [Kwangsi],"Psilomelane, Pyrolusite, Rhodochrosite",,Stratiform,Limestone,,"Early Carboniferous Mn-Bearing Series, Anticline",Manganese
25.1145,113.10501,761.0,16.700659,China,Hunan,"Magnetite, Psilomelane, Pyrolusite","Calcite, Dolomite, Pyrite",,"Siltstone,Limestone",Granite,"Mn-Bearing Series, Contact Matemorphic Zone.  Oxidizing Zone","Manganese, Iron"
